Country name,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
Finland,7.804,0.036,7.875,7.733,10.792,0.969,71.150,0.961,-0.019,0.182,1.778,1.888,1.585,0.535,0.772,0.126,0.535,2.363
Denmark,7.586,0.041,7.667,7.506,10.962,0.954,71.250,0.934,0.134,0.196,1.778,1.949,1.548,0.537,0.734,0.208,0.525,2.084
Iceland,7.530,0.049,7.625,7.434,10.896,0.983,72.050,0.936,0.211,0.668,1.778,1.926,1.620,0.559,0.738,0.250,0.187,2.250
Israel,7.473,0.032,7.535,7.411,10.639,0.943,72.697,0.809,-0.023,0.708,1.778,1.833,1.521,0.577,0.569,0.124,0.158,2.691
Netherlands,7.403,0.029,7.460,7.346,10.942,0.930,71.550,0.887,0.213,0.379,1.778,1.942,1.488,0.545,0.672,0.251,0.394,2.110
Sweden,7.395,0.037,7.468,7.322,10.883,0.939,72.150,0.948,0.165,0.202,1.778,1.921,1.510,0.562,0.754,0.225,0.520,1.903
Norway,7.315,0.044,7.402,7.229,11.088,0.943,71.500,0.947,0.141,0.283,1.778,1.994,1.521,0.544,0.752,0.212,0.463,1.829
Switzerland,7.240,0.043,7.324,7.156,11.164,0.920,72.900,0.891,0.027,0.266,1.778,2.022,1.463,0.582,0.678,0.151,0.475,1.870
Luxembourg,7.228,0.069,7.363,7.093,11.660,0.879,71.675,0.915,0.024,0.345,1.778,2.200,1.357,0.549,0.710,0.149,0.418,1.845
New Zealand,7.123,0.038,7.198,7.048,10.662,0.952,70.350,0.887,0.175,0.271,1.778,1.842,1.544,0.513,0.672,0.230,0.471,1.852
Austria,7.097,0.040,7.176,7.018,10.899,0.888,71.150,0.855,0.102,0.497,1.778,1.927,1.382,0.535,0.630,0.191,0.310,2.124
Australia,7.095,0.044,7.180,7.009,10.821,0.934,71.050,0.890,0.198,0.496,1.778,1.899,1.497,0.532,0.677,0.242,0.310,1.938
Canada,6.961,0.042,7.042,6.879,10.773,0.929,71.400,0.874,0.153,0.420,1.778,1.881,1.484,0.541,0.656,0.218,0.364,1.815
Ireland,6.911,0.044,6.996,6.825,11.527,0.905,71.300,0.874,0.092,0.358,1.778,2.152,1.425,0.539,0.656,0.186,0.409,1.545
United States,6.894,0.047,6.986,6.802,11.048,0.919,65.850,0.800,0.137,0.689,1.778,1.980,1.460,0.390,0.557,0.210,0.172,2.124
Germany,6.892,0.049,6.989,6.795,10.879,0.896,71.300,0.846,0.030,0.420,1.778,1.919,1.401,0.539,0.618,0.153,0.365,1.898
Belgium,6.859,0.034,6.926,6.793,10.844,0.915,70.899,0.825,0.001,0.549,1.778,1.907,1.449,0.528,0.590,0.137,0.273,1.976
Czechia,6.845,0.044,6.931,6.759,10.611,0.953,69.050,0.903,0.040,0.859,1.778,1.823,1.544,0.477,0.693,0.158,0.050,2.099
United Kingdom,6.796,0.042,6.877,6.714,10.704,0.882,70.300,0.852,0.253,0.454,1.778,1.857,1.366,0.511,0.626,0.272,0.340,1.822
Lithuania,6.763,0.044,6.849,6.677,10.568,0.939,67.397,0.748,-0.145,0.805,1.778,1.808,1.511,0.432,0.487,0.059,0.089,2.377
France,6.661,0.038,6.735,6.588,10.701,0.909,72.300,0.819,-0.100,0.553,1.778,1.856,1.433,0.566,0.582,0.083,0.270,1.872
Slovenia,6.650,0.051,6.750,6.550,10.588,0.951,71.052,0.913,0.014,0.771,1.778,1.815,1.539,0.532,0.707,0.144,0.113,1.799
Costa Rica,6.609,0.052,6.710,6.507,9.952,0.872,70.000,0.895,-0.070,0.768,1.778,1.587,1.340,0.503,0.683,0.099,0.116,2.281
Romania,6.589,0.052,6.690,6.488,10.339,0.848,67.051,0.856,-0.172,0.929,1.778,1.726,1.280,0.423,0.631,0.044,0.000,2.485
Singapore,6.587,0.068,6.720,6.454,11.571,0.878,73.800,0.878,0.063,0.146,1.778,2.168,1.354,0.607,0.660,0.170,0.561,1.067
United Arab Emirates,6.571,0.043,6.656,6.486,11.145,0.826,66.243,0.942,0.096,0.584,1.778,2.015,1.223,0.401,0.745,0.188,0.247,1.752
Taiwan Province of China,6.535,0.047,6.627,6.444,10.797,0.884,69.600,0.804,-0.129,0.681,1.778,1.890,1.372,0.492,0.562,0.067,0.178,1.974
Uruguay,6.494,0.046,6.583,6.404,10.037,0.913,67.500,0.895,-0.065,0.575,1.778,1.617,1.445,0.435,0.683,0.102,0.254,1.958
Slovakia,6.469,0.056,6.578,6.360,10.353,0.953,68.838,0.753,-0.016,0.898,1.778,1.731,1.544,0.472,0.494,0.128,0.022,2.078
Saudi Arabia,6.463,0.061,6.581,6.344,10.715,0.884,64.399,0.894,-0.081,0.691,1.778,1.861,1.370,0.351,0.682,0.093,0.170,1.936
Estonia,6.455,0.040,6.534,6.377,10.541,0.946,69.650,0.929,0.032,0.409,1.778,1.798,1.526,0.494,0.728,0.153,0.372,1.383
Spain,6.436,0.042,6.519,6.354,10.540,0.932,72.350,0.782,-0.066,0.711,1.778,1.798,1.491,0.567,0.533,0.101,0.157,1.789
Italy,6.405,0.054,6.511,6.298,10.634,0.882,72.050,0.711,-0.074,0.842,1.778,1.832,1.365,0.559,0.438,0.097,0.063,2.052
Kosovo,6.368,0.060,6.485,6.250,9.359,0.844,65.195,0.861,0.259,0.866,1.778,1.374,1.269,0.372,0.639,0.275,0.045,2.393
Chile,6.334,0.046,6.424,6.243,10.114,0.889,70.300,0.792,-0.011,0.823,1.778,1.645,1.384,0.511,0.546,0.131,0.076,2.040
Mexico,6.330,0.057,6.441,6.218,9.850,0.804,65.800,0.856,-0.094,0.768,1.778,1.550,1.169,0.389,0.632,0.086,0.115,2.389
Malta,6.300,0.045,6.388,6.212,10.661,0.923,71.600,0.886,0.119,0.729,1.778,1.841,1.468,0.547,0.671,0.200,0.143,1.429
Panama,6.265,0.081,6.424,6.105,10.305,0.896,68.950,0.855,-0.133,0.878,1.778,1.714,1.402,0.475,0.630,0.065,0.036,1.943
Poland,6.260,0.042,6.343,6.177,10.453,0.925,69.049,0.765,-0.031,0.736,1.778,1.767,1.474,0.477,0.511,0.120,0.139,1.772
Nicaragua,6.259,0.076,6.408,6.109,8.618,0.853,65.650,0.877,0.021,0.625,1.778,1.109,1.292,0.385,0.660,0.148,0.218,2.448
Latvia,6.213,0.042,6.295,6.131,10.370,0.937,66.400,0.818,-0.056,0.830,1.778,1.737,1.505,0.405,0.580,0.107,0.071,1.808
Bahrain,6.173,0.100,6.369,5.977,10.776,0.844,65.825,0.944,0.117,0.737,1.778,1.883,1.269,0.389,0.748,0.199,0.138,1.546
Guatemala,6.150,0.108,6.362,5.939,9.116,0.812,62.900,0.856,-0.057,0.837,1.778,1.287,1.188,0.310,0.631,0.106,0.066,2.562
Kazakhstan,6.144,0.048,6.239,6.049,10.166,0.931,65.802,0.853,0.000,0.721,1.778,1.664,1.491,0.389,0.628,0.136,0.149,1.688
Serbia,6.144,0.079,6.299,5.988,9.854,0.873,67.088,0.845,0.204,0.816,1.778,1.552,1.343,0.424,0.617,0.246,0.081,1.881
Cyprus,6.130,0.054,6.236,6.024,10.611,0.826,72.802,0.724,-0.060,0.860,1.778,1.824,1.224,0.580,0.455,0.104,0.050,1.893
Japan,6.129,0.042,6.211,6.047,10.616,0.894,74.349,0.799,-0.237,0.640,1.778,1.825,1.396,0.622,0.556,0.009,0.207,1.513
Croatia,6.125,0.057,6.237,6.013,10.341,0.917,68.950,0.757,-0.093,0.925,1.778,1.727,1.455,0.475,0.500,0.087,0.003,1.880
Brazil,6.125,0.065,6.252,5.997,9.582,0.836,65.749,0.801,-0.009,0.738,1.778,1.454,1.250,0.387,0.558,0.131,0.137,2.205
El Salvador,6.122,0.069,6.257,5.986,9.089,0.755,65.597,0.918,-0.108,0.620,1.778,1.278,1.044,0.383,0.713,0.079,0.222,2.403
Hungary,6.041,0.055,6.149,5.933,10.419,0.943,67.500,0.758,-0.059,0.839,1.778,1.754,1.519,0.435,0.501,0.105,0.065,1.663
Argentina,6.024,0.063,6.147,5.900,9.959,0.891,67.200,0.823,-0.089,0.814,1.778,1.590,1.388,0.427,0.587,0.088,0.082,1.861
Honduras,6.023,0.089,6.196,5.849,8.635,0.766,64.063,0.843,0.097,0.843,1.778,1.115,1.072,0.341,0.613,0.189,0.062,2.631
Uzbekistan,6.014,0.059,6.130,5.899,8.948,0.875,65.301,0.938,0.230,0.638,1.778,1.227,1.347,0.375,0.740,0.260,0.208,1.856
Malaysia,6.012,0.079,6.167,5.858,10.169,0.799,65.662,0.877,0.160,0.758,1.778,1.665,1.155,0.385,0.659,0.222,0.122,1.804
Portugal,5.968,0.055,6.076,5.860,10.429,0.878,71.250,0.902,-0.196,0.878,1.778,1.758,1.356,0.537,0.693,0.031,0.037,1.556
South Korea,5.951,0.045,6.040,5.862,10.693,0.812,73.650,0.717,-0.046,0.701,1.778,1.853,1.188,0.603,0.446,0.112,0.163,1.587
Greece,5.931,0.048,6.024,5.838,10.288,0.835,71.150,0.568,-0.240,0.793,1.778,1.708,1.247,0.535,0.248,0.008,0.097,2.089
Mauritius,5.902,0.057,6.013,5.791,9.957,0.888,63.850,0.813,-0.028,0.775,1.778,1.589,1.382,0.336,0.574,0.121,0.110,1.790
Thailand,5.843,0.064,5.969,5.717,9.751,0.874,68.450,0.850,0.289,0.910,1.778,1.515,1.344,0.461,0.624,0.291,0.013,1.594
Mongolia,5.840,0.046,5.930,5.750,9.372,0.933,60.500,0.701,0.190,0.849,1.778,1.379,1.494,0.244,0.425,0.239,0.058,2.001
Kyrgyzstan,5.825,0.045,5.913,5.737,8.486,0.911,66.852,0.934,0.181,0.904,1.778,1.061,1.439,0.417,0.735,0.234,0.018,1.920
Moldova,5.819,0.052,5.922,5.717,9.499,0.857,65.299,0.840,-0.080,0.901,1.778,1.425,1.302,0.375,0.610,0.093,0.020,1.995
China,5.818,0.044,5.905,5.731,9.738,0.836,68.689,0.882,-0.041,0.727,1.778,1.510,1.249,0.468,0.666,0.115,0.145,1.666
Vietnam,5.763,0.052,5.865,5.662,9.287,0.821,65.502,0.939,-0.004,0.759,1.778,1.349,1.212,0.381,0.741,0.134,0.122,1.824
Paraguay,5.738,0.058,5.851,5.625,9.510,0.906,65.900,0.891,0.021,0.843,1.778,1.428,1.427,0.392,0.678,0.148,0.062,1.604
Montenegro,5.722,0.112,5.941,5.503,9.813,0.890,67.100,0.805,0.063,0.844,1.778,1.537,1.385,0.424,0.563,0.170,0.061,1.581
Jamaica,5.703,0.089,5.876,5.529,9.165,0.867,66.600,0.822,-0.106,0.875,1.778,1.305,1.329,0.411,0.587,0.079,0.039,1.954
Bolivia,5.684,0.057,5.797,5.572,8.985,0.811,63.599,0.868,-0.063,0.846,1.778,1.240,1.187,0.329,0.648,0.103,0.060,2.118
Russia,5.661,0.037,5.734,5.588,10.210,0.889,64.947,0.719,-0.030,0.801,1.778,1.680,1.383,0.366,0.449,0.120,0.091,1.572
Bosnia and Herzegovina,5.633,0.073,5.775,5.490,9.616,0.880,67.275,0.746,0.206,0.918,1.778,1.467,1.361,0.429,0.485,0.247,0.008,1.635
Colombia,5.630,0.060,5.747,5.514,9.584,0.822,69.350,0.804,-0.104,0.834,1.778,1.455,1.213,0.486,0.562,0.080,0.068,1.765
Dominican Republic,5.569,0.073,5.712,5.426,9.811,0.827,64.399,0.850,-0.099,0.657,1.778,1.536,1.227,0.351,0.623,0.083,0.195,1.553
Ecuador,5.559,0.063,5.682,5.436,9.270,0.806,69.000,0.802,-0.108,0.833,1.778,1.343,1.173,0.476,0.560,0.079,0.069,1.860
Peru,5.526,0.058,5.640,5.412,9.402,0.798,69.850,0.794,-0.119,0.892,1.778,1.390,1.153,0.499,0.549,0.073,0.027,1.835
Philippines,5.523,0.077,5.675,5.371,8.979,0.780,62.038,0.919,-0.060,0.732,1.778,1.238,1.108,0.286,0.714,0.104,0.141,1.931
Bulgaria,5.466,0.059,5.582,5.350,10.087,0.918,66.500,0.801,-0.057,0.911,1.778,1.635,1.457,0.408,0.557,0.106,0.013,1.289
Nepal,5.360,0.075,5.507,5.214,8.256,0.748,61.847,0.808,0.146,0.783,1.778,0.979,1.027,0.281,0.567,0.215,0.104,2.187
Armenia,5.342,0.066,5.470,5.213,9.615,0.790,67.789,0.796,-0.155,0.705,1.778,1.466,1.134,0.443,0.551,0.053,0.160,1.534
Tajikistan,5.330,0.062,5.452,5.207,8.237,0.836,62.226,0.832,-0.060,0.522,1.778,0.972,1.248,0.291,0.599,0.104,0.292,1.823
