Date,MSFT,F,BAC
1/3/2007,29.860001,7.51,53.330002
1/4/2007,29.809999,7.7,53.669998
1/5/2007,29.639999,7.62,53.240002
1/8/2007,29.93,7.73,53.450001
1/9/2007,29.959999,7.79,53.5
1/10/2007,29.66,7.73,53.580002
1/11/2007,30.700001,7.77,53.259998
1/12/2007,31.209999,7.89,53.380001
1/16/2007,31.16,7.94,53.439999
1/17/2007,31.1,8.04,53.32
1/18/2007,31,8.18,53.290001
1/19/2007,31.110001,8.3,53.59
1/22/2007,30.719999,8.41,53.650002
1/23/2007,30.74,8.3,53.32
1/24/2007,31.09,8.2,53.200001
1/25/2007,30.450001,8.22,52.400002
1/26/2007,30.6,8.42,52.040001
1/29/2007,30.530001,8.37,51.459999
1/30/2007,30.48,8.2,52.119999
1/31/2007,30.860001,8.13,52.580002
2/1/2007,30.559999,8.29,52.84
2/2/2007,30.190001,8.23,52.740002
2/5/2007,29.610001,8.33,52.880001
2/6/2007,29.51,8.54,53.209999
2/7/2007,29.370001,8.56,53.360001
2/8/2007,29.26,8.55,53.32
2/9/2007,28.98,8.73,52.990002
2/12/2007,28.940001,8.65,53.040001
2/13/2007,29.01,8.45,53.73
2/14/2007,29.4,8.51,54.049999
2/15/2007,29.459999,8.6,53.849998
2/16/2007,28.74,8.53,54.049999
2/20/2007,28.83,8.65,54.049999
2/21/2007,29.35,8.47,53.91
2/22/2007,29.389999,8.35,53.700001
2/23/2007,28.9,8.3,52.860001
2/26/2007,29.07,8.26,52.790001
2/27/2007,27.870001,7.78,50.799999
2/28/2007,28.17,7.91,50.830002
3/1/2007,28.09,7.77,50.380001
3/2/2007,27.76,7.59,50.009998
3/5/2007,27.549999,7.58,49.639999
3/6/2007,27.83,7.64,50.939999
3/7/2007,27.610001,7.62,50.59
3/8/2007,27.32,7.93,50.77
3/9/2007,27.290001,7.93,50.950001
3/12/2007,27.440001,7.82,51.09
3/13/2007,26.719999,7.64,49.459999
3/14/2007,27.4,7.51,49.77
3/15/2007,27.280001,7.59,50.099998
3/16/2007,27.33,7.55,49.619999
3/19/2007,27.83,7.82,50.369999
3/20/2007,27.84,7.88,50.759998
3/21/2007,28.52,8.01,51.860001
3/22/2007,28.27,8.08,51.639999
3/23/2007,28.02,7.89,51.689999
3/26/2007,28.219999,7.87,51.560001
3/27/2007,27.719999,7.85,51.84
3/28/2007,27.639999,7.98,50.77
3/29/2007,27.75,7.95,51.189999
3/30/2007,27.870001,7.89,51.02
4/2/2007,27.74,8.09,50.43
4/3/2007,27.870001,8.08,50.860001
4/4/2007,28.5,8.04,50.889999
4/5/2007,28.549999,8.01,50.849998
4/9/2007,28.57,8.08,50.860001
4/10/2007,28.4,8.19,51.07
4/11/2007,28.110001,8.13,50.509998
4/12/2007,28.540001,8.09,50.279999
4/13/2007,28.610001,8.02,50.419998
4/16/2007,28.73,8.03,51.23
4/17/2007,28.85,7.85,51.299999
4/18/2007,28.6,7.82,51.82
4/19/2007,28.690001,7.74,50.91
4/20/2007,29.02,7.75,51.040001
4/23/2007,28.780001,7.83,50.509998
4/24/2007,28.790001,7.82,50.619999
4/25/2007,28.99,7.88,51.23
4/26/2007,29.1,8.2,50.720001
4/27/2007,30.120001,8.05,50.77
4/30/2007,29.940001,8.04,50.900002
5/1/2007,30.4,8.05,50.93
5/2/2007,30.610001,8.17,51.009998
5/3/2007,30.969999,8.19,51.23
5/4/2007,30.559999,8.22,51.240002
5/7/2007,30.709999,8.16,51.419998
5/8/2007,30.75,8.37,51.400002
5/9/2007,30.780001,8.35,51.450001
5/10/2007,30.58,8.24,50.580002
5/11/2007,30.889999,8.37,50.950001
5/14/2007,30.969999,8.71,50.779999
5/15/2007,30.9,8.91,50.939999
5/16/2007,31.07,8.76,51.119999
5/17/2007,30.98,8.76,51.130001
5/18/2007,30.83,8.69,51.279999
5/21/2007,31.049999,8.78,51.23
5/22/2007,30.690001,8.68,51.5
5/23/2007,30.58,8.76,51.349998
5/24/2007,30.17,8.49,51.049999
5/25/2007,30.48,8.45,51.200001
5/29/2007,30.790001,8.4,51.189999
5/30/2007,31.110001,8.5,50.810001
5/31/2007,30.690001,8.34,50.709999
6/1/2007,30.59,8.35,50.779999
6/4/2007,30.719999,8.27,50.849998
6/5/2007,30.58,8.31,50.66
6/6/2007,30.290001,8.26,50.330002
6/7/2007,29.620001,8.06,49.790001
6/8/2007,30.049999,8.24,50.259998
6/11/2007,30.02,8.4,50.049999
6/12/2007,29.85,8.32,49.66
6/13/2007,30.389999,8.56,50.360001
6/14/2007,30.52,8.66,50.080002
6/15/2007,30.49,8.92,50.080002
6/18/2007,30.51,8.85,49.91
6/19/2007,30.459999,8.65,50.549999
6/20/2007,30.01,8.86,49.98
6/21/2007,30.219999,8.91,49.889999
6/22/2007,29.49,9.13,48.950001
6/25/2007,29.49,9.03,48.849998
6/26/2007,29.52,8.96,48.799999
6/27/2007,29.870001,9.28,49.189999
6/28/2007,29.83,9.49,49.09
6/29/2007,29.469999,9.42,48.889999
7/2/2007,29.74,9.64,49.32
7/3/2007,30.02,9.42,49.549999
7/5/2007,29.99,9.15,49.369999
7/6/2007,29.969999,9.11,49.150002
7/9/2007,29.870001,9.08,48.810001
7/10/2007,29.33,9.09,48.360001
7/11/2007,29.49,8.9,48.509998
7/12/2007,30.07,8.96,49.529999
7/13/2007,29.82,8.97,49.5
7/16/2007,30.030001,8.86,49.619999
7/17/2007,30.780001,8.73,49.799999
7/18/2007,30.92,8.63,49.360001
7/19/2007,31.51,8.63,49.27
7/20/2007,31.16,8.4,48.310001
7/23/2007,31.190001,8.46,48.150002
7/24/2007,30.799999,8.26,47.150002
7/25/2007,30.709999,7.97,47.93
7/26/2007,29.98,8.09,47.23
7/27/2007,29.389999,8.23,47.41
7/30/2007,29.4,8.74,47.700001
7/31/2007,28.99,8.51,47.419998
8/1/2007,29.299999,8.43,47.630001
8/2/2007,29.52,8.4,47.779999
8/3/2007,28.959999,8.06,47
8/6/2007,29.540001,8.19,48.16
8/7/2007,29.549999,8.3,48.669998
8/8/2007,30,8.87,49.700001
8/9/2007,29.299999,8.38,48.349998
8/10/2007,28.709999,8.23,48.59
8/13/2007,28.629999,8.37,48.5
8/14/2007,28.27,8.07,47.860001
8/15/2007,28.1,8,48.23
8/16/2007,27.809999,7.7,49.849998
8/17/2007,28.25,7.83,51.759998
8/20/2007,28.26,8,51.349998
8/21/2007,28.07,7.92,51.299999
8/22/2007,28.219999,7.85,51.650002
8/23/2007,28.299999,7.75,51.830002
8/24/2007,28.809999,7.9,51.869999
8/27/2007,28.49,7.8,50.869999
8/28/2007,27.93,7.51,49.66
8/29/2007,28.59,7.72,50.549999
8/30/2007,28.450001,7.67,50.209999
8/31/2007,28.73,7.81,50.68
9/4/2007,28.809999,7.99,51.080002
9/5/2007,28.48,7.77,49.950001
9/6/2007,28.91,7.78,49.790001
9/7/2007,28.440001,7.52,49.02
9/10/2007,28.48,7.52,48.959999
9/11/2007,28.93,7.58,49.450001
9/12/2007,28.93,7.5,49.389999
9/13/2007,29.16,7.92,49.860001
9/14/2007,29.040001,8.03,49.950001
9/17/2007,28.73,8.28,49.509998
9/18/2007,28.93,8.42,51.209999
9/19/2007,28.67,8.4,51.07
9/20/2007,28.42,8.25,50.790001
9/21/2007,28.65,8.23,51.240002
9/24/2007,29.08,8.48,50.59
9/25/2007,29.559999,8.34,50.220001
9/26/2007,29.5,8.88,50.41
9/27/2007,29.49,8.63,50.599998
9/28/2007,29.459999,8.49,50.27
10/1/2007,29.77,8.23,50.639999
10/2/2007,29.700001,8.57,51.720001
10/3/2007,29.450001,8.43,51.93
10/4/2007,29.709999,8.26,52.400002
10/5/2007,29.84,8.37,52.709999
10/8/2007,29.84,8.19,52.43
10/9/2007,30.1,8.32,52.57
10/10/2007,30.23,8.23,52.299999
10/11/2007,29.91,8.76,52.419998
10/12/2007,30.17,9.2,52.07
10/15/2007,30.040001,8.99,51.419998
10/16/2007,30.32,8.78,50.200001
10/17/2007,31.08,8.69,50.029999
10/18/2007,31.16,8.76,48.849998
10/19/2007,30.17,8.37,47.57
10/22/2007,30.51,8.34,47.779999
10/23/2007,30.9,8.65,47.779999
10/24/2007,31.25,8.59,47.48
10/25/2007,31.99,8.6,47
10/26/2007,35.029999,8.67,48.029999
10/29/2007,34.57,8.77,47.98
10/30/2007,35.57,8.8,47.990002
10/31/2007,36.810001,8.87,48.279999
11/1/2007,37.060001,8.5,45.709999
11/2/2007,37.060001,8.95,45.110001
11/5/2007,36.73,8.67,44.450001
11/6/2007,36.41,8.63,45.560001
11/7/2007,35.52,8.24,43.310001
11/8/2007,34.740002,8.48,43.5
11/9/2007,33.73,8.2,43.98
11/12/2007,33.380001,7.87,43.98
11/13/2007,34.459999,8,46.27
11/14/2007,33.93,7.98,45.73
11/15/2007,33.759998,7.78,44.080002
11/16/2007,34.09,7.7,44.369999
11/19/2007,33.959999,7.34,42.82
11/20/2007,34.580002,7.24,42.77
11/21/2007,34.23,6.95,42.139999
11/23/2007,34.110001,7.19,43.150002
11/26/2007,32.970001,7.03,41.880001
11/27/2007,33.060001,7.07,42.939999
11/28/2007,33.700001,7.36,44.849998
11/29/2007,33.59,7.29,44.630001
11/30/2007,33.599998,7.51,46.130001
12/3/2007,32.919998,7.25,45.470001
12/4/2007,32.77,6.97,44.709999
12/5/2007,34.150002,6.98,45.23
12/6/2007,34.549999,7.06,45.959999
12/7/2007,34.529999,7.06,45.369999
12/10/2007,34.759998,7.14,46.639999
12/11/2007,34.099998,6.97,44.650002
12/12/2007,34.470001,7.06,43.43
12/13/2007,35.220001,6.99,43.049999
12/14/2007,35.310001,6.89,42.16
12/17/2007,34.389999,6.8,41.700001
12/18/2007,34.740002,6.81,41.5
12/19/2007,34.790001,6.76,41.59
12/20/2007,35.52,6.79,41.41
12/21/2007,36.060001,6.79,41.919998
12/24/2007,36.580002,6.75,42.279999
12/26/2007,36.610001,6.89,42.299999
12/27/2007,35.970001,6.84,41.459999
12/28/2007,36.119999,6.7,41.099998
12/31/2007,35.599998,6.73,41.259998
1/2/2008,35.220001,6.6,40.560001
1/3/2008,35.369999,6.45,40.299999
1/4/2008,34.380001,6.13,39.849998
1/7/2008,34.610001,6.16,39.900002
1/8/2008,33.450001,6.1,38.41
1/9/2008,34.439999,6.07,38.740002
1/10/2008,34.330002,6.25,39.299999
1/11/2008,33.91,6.06,38.5
1/14/2008,34.389999,6.18,39.220001
1/15/2008,34,5.97,37.880001
1/16/2008,33.23,5.86,38.689999
1/17/2008,33.110001,5.76,36.91
1/18/2008,33.009998,5.92,35.970001
1/22/2008,31.959999,5.93,37.389999
